time,材料2,材料4,材料5,材料7,材料8,材料10,材料11,材料13,材料55,材料21,材料22
1286,3.462876666666667,3.842003333333333,4.198856666666667,4.16481,4.064463333333333,3.3777266666666663,4.279156666666666,3.4115,3.270986666666667,3.5937866666666665,4.09293
1287,3.431545,3.816215,4.098605,4.120595,4.0078375,3.3662925,4.709065,3.396775,3.3874475,3.6155074999999997,4.22877
1288,3.455,3.852746666666667,4.179279999999999,4.18075,4.05801,3.344746666666667,4.20274,3.38869,3.34146,3.603073333333333,4.076126666666667
1289,3.3455733333333337,3.8392733333333333,4.07895,4.106323333333333,4.1048599999999995,3.27199,4.71941,3.434366666666667,3.4333233333333335,3.550606666666667,4.261333333333333
1290,3.52903,3.8734366666666666,4.1089166666666666,4.22895,4.073806666666666,3.4559466666666663,4.25199,3.3832366666666664,3.3129166666666667,3.56545,4.144966666666667
1291,3.4774100000000003,3.711176666666667,4.1895,4.093563333333333,4.090536666666667,3.417896666666666,4.676053333333333,3.4611366666666665,3.4394466666666665,3.5566166666666668,4.145356666666667
1292,3.402036666666666,3.7360433333333334,4.14084,4.182953333333334,4.07294,3.289,4.3458033333333335,3.5126233333333334,3.3383966666666667,3.599526666666667,4.063283333333334
1293,3.4503500000000003,3.7599075,4.1937425,4.0483425,4.0975325,3.393315,4.6384525,3.51104,3.498745,3.5922125,4.1402149999999995
1294,3.4413866666666664,3.7409433333333335,4.168256666666667,4.221443333333333,4.007443333333334,3.3452266666666666,4.297276666666666,3.5569733333333335,3.3540233333333336,3.6592966666666666,4.048613333333333
1295,3.4431,3.794596666666667,4.190336666666667,4.073973333333334,4.079303333333333,3.3342766666666663,4.394206666666666,3.509373333333333,3.4388233333333336,3.59137,4.14025
1296,3.46813,3.83135,4.26679,4.067053333333334,4.016966666666667,3.3882066666666666,4.726083333333333,3.45782,3.3699933333333334,3.6443933333333334,4.18738
1297,3.5120133333333334,3.6918633333333335,4.1873000000000005,4.17901,4.00866,3.454126666666667,4.350543333333333,3.4522166666666667,3.3708066666666667,3.4497766666666667,3.9914733333333334
1298,3.405663333333333,3.9542,4.211413333333334,4.071940000000001,4.085983333333334,3.2749666666666664,4.84717,3.474626666666667,3.321066666666667,3.540143333333333,4.14555
1299,3.5864425,3.61377,4.2167775,4.183865,3.9692024999999997,3.4697725,4.4853625,3.4423,3.1400275,3.56549,4.04856
1300,3.4608733333333332,3.88212,4.215163333333333,3.943203333333333,4.0945,3.305846666666667,4.44417,3.5133500000000004,3.2707433333333333,3.477133333333333,4.2355833333333335
1301,3.579966666666667,3.6075199999999996,4.159933333333334,4.245593333333333,4.047706666666667,3.5573933333333336,4.550136666666667,3.5254600000000003,3.174163333333334,3.6059933333333336,4.152373333333333
1302,3.604616666666667,3.7936266666666665,3.9061866666666667,4.007639999999999,4.023206666666667,3.275776666666667,4.807316666666666,3.5461766666666663,3.094203333333333,3.47302,4.132023333333334
1303,3.4564466666666664,3.6145300000000002,3.8000966666666667,4.161686666666667,4.117,3.37503,4.311963333333334,3.579613333333333,3.22116,3.626293333333333,4.1187933333333335
1304,3.59955,3.79908,3.7132199999999997,4.114905,4.0032675,3.3891825,4.6449125,3.5192975,3.099225,3.434845,4.1760874999999995
1305,3.442466666666667,3.727686666666667,3.6245133333333333,4.078946666666666,4.051903333333333,3.3874866666666663,4.612573333333334,3.5419633333333334,3.091746666666667,3.5439333333333334,4.118543333333334
