wob_min,wob_max,wob_mean,wob_std,wob_skew,wob_kuet,T_min,T_max,T_mean,T_std,T_skew,T_kuet,S,Z,res,序号,岩性名称,设备S,设备Z,静态抗压强度σc/MPa,弹性模量E/GPa,泊松比,抗拉强度 σci /MPa,黏聚力,内摩擦角φ/°,"拉强比
/%","脆性指数
KN/mm",回弹均值 RM,动态强度/MPa, 滑动摩擦系数μ,声级LAeq（dB）,"波速vp
/m·s","密度均值
/g·cm-","渗透率mD
5MPa","孔隙度%
5MPa","粒径Dv(90)
μm"
3.01072,3.58379,3.3068740000000005,0.16262326697001264,-0.014026551758416536,0.32113524228206547,8.167,12.334,10.438299999999998,1.655828295580325,-0.1495553355633793,-2.0162374373885577,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.98017,3.54087,3.2427444444444444,0.19355739130236738,0.6124672665897665,-0.7753053667607612,7.846,12.323,10.03611111111111,1.6494177339628404,0.22320946367441521,-1.6161478431516043,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.93079,3.52784,3.243584,0.21632708718255533,0.18657165361065992,-1.087262949746349,8.294,11.912,10.4546,1.3602740900274477,-0.6073719228373361,-1.4047960031295896,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.85326,3.49151,3.202474444444445,0.18794796754096002,-0.3489384685906923,0.5723630572368013,8.373,12.424,10.66388888888889,1.3272796845846437,-0.35998608478106253,-0.5153775998974925,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.74761,3.5162,3.137755,0.2629422232375605,-0.07725365997579897,-0.5234980720981364,8.558,12.323,10.5913,1.206198716814292,-0.0432737859498683,-0.9636268262041114,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.71924,3.4908,3.1757544444444448,0.2602603193492581,-0.27238476711200155,-0.6665455571915184,8.231,12.482,10.463444444444445,1.4465179839109423,-0.40467851514614367,-0.5047131929387234,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.66539,3.53267,3.166054,0.279158261572973,-0.13432066355546118,-0.5215106073907041,8.405,13.062,10.720099999999999,1.6401598465461293,0.047710139240381574,-1.31644821745083,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.69793,3.47647,3.1014711111111115,0.26521645468581145,-0.03500705396799774,-0.40759913779222945,8.352,12.84,11.008999999999999,1.6843504682814676,-0.45506946052192115,-1.2542940888483987,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.83037,3.51471,3.1978300000000006,0.25004529687416416,0.08505994181387987,-1.6980949504488434,8.795,12.281,10.235800000000001,1.2556553667308559,0.21790826631653523,-1.4008039253628888,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.83183,3.43994,3.1157844444444445,0.1660579057972784,0.3063739540518065,1.7367548790961056,8.879,12.081,10.532000000000002,1.4009710025550137,0.011842275394263307,-2.3235844526615654,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
