遗传代数,参数,R平方
78,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
79,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
80,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9724770287875953
81,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9724770287875953
82,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
83,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
84,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
85,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
86,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
87,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
88,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9718522427499265
89,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
90,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
91,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
92,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
93,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
94,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
95,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
96,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
97,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
98,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
99,"{'max_depth': 8, 'learning_rate': 0.09828500170312304, 'subsample': 0.8858441898357445, 'colsample_bytree': 0.8537827660707765}",0.9710467605386589
