遗传代数,参数,VAF
73,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
74,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
75,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7976385687190837, 'colsample_bytree': 0.7494171948207615}",96.46025735390585
76,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7976385687190837, 'colsample_bytree': 0.7569091600851636}",96.92185172079152
77,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7976385687190837, 'colsample_bytree': 0.7569091600851636}",96.92185172079152
78,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.46025735390585
79,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.7976385687190837, 'colsample_bytree': 0.7494171948207615}",96.46025735390585
80,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
81,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
82,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
83,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
84,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
85,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
86,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
87,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",97.13005724604159
88,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",97.13005724604159
89,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
90,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
91,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
92,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
93,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
94,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
95,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
96,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
97,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
98,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
99,"{'max_depth': 9, 'learning_rate': 0.055936065429007004, 'subsample': 0.9310670682569445, 'colsample_bytree': 0.7494171948207615}",96.44917393544534
